Date : 2026-02-01 05:08:50
Directory : /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app
Total : 108 files,  19190 codes, 958 comments, 1766 blanks, all 21914 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/ProfileDialog.tsx             | TypeScript JSX |        521 |         23 |         37 |        581 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/RegisterDialog.tsx            | TypeScript JSX |        432 |         11 |         29 |        472 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/ReviewDialog.tsx              | TypeScript JSX |        113 |          6 |         13 |        132 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/ShareDialog.tsx               | TypeScript JSX |        226 |          6 |         10 |        242 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/SuccessViewProps.tsx          | TypeScript JSX |        110 |         10 |         15 |        135 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/SupportDialog.tsx             | TypeScript JSX |        189 |         14 |         21 |        224 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/features/home/FeaturesSection.tsx     | TypeScript JSX |         66 |          5 |          8 |         79 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/features/home/HeroSection.tsx         | TypeScript JSX |         84 |          2 |          6 |         92 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/features/home/LatestAnnounces.tsx     | TypeScript JSX |          0 |          0 |          1 |          1 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/features/home/ReviewCard.tsx          | TypeScript JSX |         29 |          7 |          4 |         40 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/features/home/Reviews.tsx             | TypeScript JSX |        113 |          3 |          7 |        123 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/forms/AirlineComboBox.tsx             | TypeScript JSX |        197 |          6 |         12 |        215 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/forms/AirportComboBox.tsx             | TypeScript JSX |        159 |          7 |         15 |        181 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/forms/CountryComboBox.tsx             | TypeScript JSX |        163 |          1 |         14 |        178 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/forms/CurrencyComboBox.tsx            | TypeScript JSX |        169 |          2 |         14 |        185 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/forms/SearchFiltersBar.tsx            | TypeScript JSX |        215 |         18 |         23 |        256 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/layout/Footer.tsx                     | TypeScript JSX |        191 |          6 |          9 |        206 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/layout/FooterMinimal.tsx              | TypeScript JSX |         19 |          0 |          3 |         22 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/layout/Header.tsx                     | TypeScript JSX |        483 |         22 |         17 |        522 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/popovers/AnnounceTypeDropdown.tsx     | TypeScript JSX |         85 |         15 |          7 |        107 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/popovers/AppDownloadPopover.tsx       | TypeScript JSX |         66 |          2 |          9 |         77 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/popovers/AvatarMenu.tsx               | TypeScript JSX |        288 |          7 |         17 |        312 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/popovers/LanguageDropdown.tsx         | TypeScript JSX |         91 |         59 |         10 |        160 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/popovers/NotificationPopover.tsx      | TypeScript JSX |        349 |         22 |         42 |        413 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/sections/BecomeTransporterSection.tsx | TypeScript JSX |         40 |          0 |          2 |         42 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/sections/LatestAnnounces.tsx          | TypeScript JSX |          0 |          0 |          1 |          1 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/sections/LatestDemands.tsx            | TypeScript JSX |         93 |          3 |         13 |        109 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/sections/PackageCategories.tsx        | TypeScript JSX |         83 |          0 |          2 |         85 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/sections/PopularRoutes.tsx            | TypeScript JSX |         49 |          0 |          4 |         53 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/sections/SupportSection.tsx           | TypeScript JSX |        179 |          4 |         18 |        201 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/sections/VerifiedTravelers.tsx        | TypeScript JSX |         90 |          2 |         11 |        103 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/sections/VideoRecommendations.tsx     | TypeScript JSX |         36 |          0 |          4 |         40 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/data/announces.ts                                | TypeScript     |        398 |          2 |          5 |        405 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/hooks/useAuth.ts                                 | TypeScript     |        284 |         17 |         34 |        335 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/hooks/useInfiniteScroll.ts                       | TypeScript     |         34 |          1 |          9 |         44 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/hooks/useLanguage.ts                             | TypeScript     |         16 |          1 |          5 |         22 |
