"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "CSS", "comment", "blank", "total"
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/help-center.tsx", "TypeScript JSX", 0, 118, 0, 0, 2, 10, 130
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/home.tsx", "TypeScript JSX", 0, 45, 0, 0, 1, 5, 51
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/how-it-works.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 5, 63
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/logos.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 5, 62
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/logout.tsx", "TypeScript JSX", 0, 35, 0, 0, 3, 8, 46
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/notifications.tsx", "TypeScript JSX", 0, 276, 0, 0, 9, 26, 311
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/profile.tsx", "TypeScript JSX", 0, 1674, 0, 0, 189, 152, 2015
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/reset-password.tsx", "TypeScript JSX", 0, 176, 0, 0, 1, 16, 193
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/security-rules.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 10, 55
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/stripe-onboarding.tsx", "TypeScript JSX", 0, 109, 0, 0, 11, 15, 135
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/support.tsx", "TypeScript JSX", 0, 313, 0, 0, 9, 28, 350
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/terms.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 4, 55
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/pages/transporters.tsx", "TypeScript JSX", 0, 113, 0, 0, 0, 8, 121
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/root.tsx", "TypeScript JSX", 0, 135, 0, 0, 10, 19, 164
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/routes.ts", "TypeScript", 21, 0, 0, 0, 0, 2, 23
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/Api.ts", "TypeScript", 86, 0, 0, 0, 18, 28, 132
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/airlineService.ts", "TypeScript", 50, 0, 0, 0, 2, 8, 60
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/airportService.ts", "TypeScript", 36, 0, 0, 0, 1, 7, 44
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/alertService.ts", "TypeScript", 57, 0, 0, 0, 0, 5, 62
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/announceService.ts", "TypeScript", 280, 0, 0, 0, 9, 30, 319
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/authService.ts", "TypeScript", 236, 0, 0, 0, 0, 21, 257
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/bookmarkService.ts", "TypeScript", 66, 0, 0, 0, 0, 7, 73
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/currencyService.ts", "TypeScript", 217, 0, 0, 0, 6, 23, 246
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/demandService.ts", "TypeScript", 195, 0, 0, 0, 8, 19, 222
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/messageService.ts", "TypeScript", 97, 0, 0, 0, 5, 9, 111
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/notificationService.ts", "TypeScript", 62, 0, 0, 0, 0, 12, 74
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/pricingService.ts", "TypeScript", 21, 0, 0, 0, 0, 3, 24
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/quotesService.ts", "TypeScript", 17, 0, 0, 0, 0, 5, 22
"/home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/services/requestService.ts", "TypeScript", 108, 0, 0, 0, 0, 12, 120
